TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   99.65  110.69   50.50  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
  165.00   89.99 -165.00   0.0003500
