TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  113.60  100.83   78.05  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
  162.00   32.14 -162.00   0.0003500
