TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  110.51  113.10  -17.92  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
  150.00   57.85 -150.00   0.0003500
