TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   78.10   94.32   85.24  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
  126.00   12.86 -126.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.041   1.099   0.868  <-- length of phase ellipsoid axes
 -164.58    2.50  -62.37  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
  125.17    9.00 -124.82   0.0003500
