TEXTURE AT STRAIN =    0.1000
   1.126   1.183   0.738  <-- length of phase ellipsoid axes
  -47.77    1.47  159.56  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
  122.54   70.88 -121.94   0.0003500
