TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -171.67   88.33   45.03  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
 -170.01   35.00 -124.98   0.0016500
