TEXTURE AT STRAIN =    0.1000
   1.079   1.165   0.787  <-- length of phase ellipsoid axes
 -108.36    3.86  147.04  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
  115.50   45.15 -120.98   0.0003500
