TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -162.31  125.63   68.34  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
  142.42   81.14 -114.88   0.0016500
