TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -95.92   39.87    1.81  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
  166.61   50.87 -112.06   0.0016500
