TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  129.83  112.59   68.01  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
  171.29   60.00 -171.29   0.0003500
