TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   72.75   90.75   45.01  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
  162.00   89.99 -162.00   0.0003500
