TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -167.46   35.51  -50.66  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
  113.50  118.88 -107.80   0.0016500
