TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   57.08   91.16   87.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
  126.00    6.43 -126.00   0.0003500
