TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -45.62   40.45  101.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
   60.03  165.00 -124.97   0.0016500
