TEXTURE AT STRAIN =    0.5000
   1.863   2.032   0.246  <-- length of phase ellipsoid axes
  -42.97    3.03  107.78  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
  132.94   51.01 -134.75   0.0003500
