TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   54.74  106.25   74.23  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
  100.00   45.00 -100.00   0.0003500
