TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  150.41  100.61  176.25  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
  170.00   22.50 -170.00   0.0003500
