TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -84.00   38.57   73.01  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
  170.63   40.74 -105.05   0.0016500
