TEXTURE AT STRAIN =    0.8500
   2.484   2.752   0.134  <-- length of phase ellipsoid axes
  115.64    0.68    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
  133.51   52.34 -134.05   0.0003500
