TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  136.11   46.15   78.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
 -150.03   15.00 -124.97   0.0016500
