TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  119.59  100.61    3.75  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
  100.00   22.50 -100.00   0.0003500
