TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   76.13   71.63   54.54  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
  107.78  124.23 -111.34   0.0016500
