TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  126.11   72.10   55.25  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
  146.59   75.39 -111.70   0.0016500
TEXTURE AT STRAIN =    0.0500
   1.013   1.020   0.967  <-- length of phase ellipsoid axes
   -3.57    3.76   60.02  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
  146.62   75.84 -111.23   0.0016500
