TEXTURE AT STRAIN =    0.6500
   1.260   1.283   0.613  <-- length of phase ellipsoid axes
   47.88    1.88  -14.09  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
  109.45  132.13 -136.91   0.0016500
